City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Mount Pleasant,US,32.7941,-79.8626,53.74,67,1,1.99,clear sky
171,Bengkulu,ID,-3.8004,102.2655,74.59,90,86,4.43,overcast clouds
172,Puerto Carreno,CO,6.189,-67.4859,88.84,53,100,5.5,overcast clouds
173,Kaitangata,NZ,-46.2817,169.8464,60.93,60,44,4.7,scattered clouds
174,Sawankhalok,TH,17.316,99.8319,66.56,77,6,4.18,clear sky
175,Marsala,IT,37.7966,12.4352,51.55,76,0,8.39,clear sky
176,Odesskoye,RU,54.2111,72.9651,33.89,99,100,18.59,light rain
177,Zeya,RU,53.75,127.2667,-21.48,83,65,3.42,broken clouds
178,Thompson,CA,55.7435,-97.8558,-8.75,94,100,6.73,overcast clouds
179,Coruripe,BR,-10.1256,-36.1756,80.24,81,99,18.95,overcast clouds
180,Mogadishu,SO,2.0371,45.3438,78.94,85,87,16.89,light rain
181,Alzamay,RU,55.5562,98.6644,-9.18,84,4,10.2,clear sky
182,Bria,CF,6.5423,21.9863,74.82,37,96,4.99,overcast clouds
183,Hasaki,JP,35.7333,140.8333,34.2,61,37,14.74,scattered clouds
184,Tabou,CI,4.423,-7.3528,80.76,79,21,10.25,few clouds
185,Paamiut,GL,61.994,-49.6678,29.08,77,100,7.27,overcast clouds
186,Predejane,RS,42.8294,22.1311,32.59,74,100,5.39,overcast clouds
187,Skibbereen,IE,51.55,-9.2667,51.6,95,82,14.05,broken clouds
188,Shenkursk,RU,62.1091,42.896,14.56,92,100,10.96,light snow
189,Proddatur,IN,14.7333,78.55,65.03,67,3,4.99,clear sky
190,Lorengau,PG,-2.0226,147.2712,80.76,86,100,11.18,overcast clouds
191,Tuktoyaktuk,CA,69.4541,-133.0374,-6.88,94,100,16.55,overcast clouds
192,Kenai,US,60.5544,-151.2583,32.02,86,1,3.44,clear sky
193,Gushikawa,JP,26.3544,127.8686,71.19,94,75,0.0,broken clouds
194,Fasa,IR,28.9383,53.6482,46.38,15,20,1.32,few clouds
195,Palatka,US,29.6486,-81.6376,65.44,68,0,5.95,clear sky
196,Turayf,SA,31.6725,38.6637,46.17,65,100,6.98,overcast clouds
197,Portland,US,45.5234,-122.6762,47.44,82,1,1.99,clear sky
198,Kilindoni,TZ,-7.9139,39.6668,81.91,76,3,9.6,clear sky
199,Yar-Sale,RU,66.8333,70.8333,-4.54,88,6,13.47,clear sky
200,Sobolevo,RU,54.4299,31.8996,15.1,93,100,15.21,light snow
201,Aitape,PG,-3.1374,142.3475,80.24,81,100,3.98,overcast clouds
202,Esperance,AU,-33.8667,121.9,63.68,75,65,5.59,broken clouds
203,Narsaq,GL,60.9167,-46.05,39.42,63,86,10.2,overcast clouds
204,Hanamaki,JP,39.3833,141.1167,27.7,92,76,2.08,broken clouds
205,Saint-Philippe,RE,-21.3585,55.7679,78.39,86,100,2.28,overcast clouds
206,Isangel,VU,-19.55,169.2667,82.42,73,96,10.58,light rain
207,Deer Lake,CA,49.1667,-57.4316,31.95,87,97,21.25,light snow
208,Nesna,NO,66.1967,13.0213,21.31,83,59,10.16,broken clouds
209,Acapulco,MX,16.8634,-99.8901,84.02,70,1,6.91,clear sky
210,Farso,DK,56.7728,9.3393,31.86,93,100,4.61,overcast clouds
211,Meiganga,CM,6.5167,14.3,69.53,32,7,4.72,clear sky
212,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,77,100,19.75,overcast clouds
213,Ketchikan,US,55.3422,-131.6461,27.07,68,1,3.44,clear sky
214,Ekhabi,RU,53.5102,142.9671,-6.41,97,100,21.39,overcast clouds
215,Souillac,MU,-20.5167,57.5167,79.36,88,75,5.75,broken clouds
