City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Geraldton,AU,2021-12-21 20:43:08,-28.7667,114.6,70.21,68,90,13.8
227,Gasa,PS,2021-12-21 20:40:40,31.5,34.4667,57.18,70,17,11.99
228,Nantucket,US,2021-12-21 20:42:18,41.2835,-70.0995,44.71,72,100,3.85
229,Cabedelo,BR,2021-12-21 20:39:40,-6.9811,-34.8339,83.07,73,86,8.63
230,Fairbanks,US,2021-12-21 20:43:09,64.8378,-147.7164,17.56,81,40,5.75
231,Minna,NG,2021-12-21 20:43:09,9.6139,6.5569,82.11,34,6,11.5
232,Perth,AU,2021-12-21 20:43:09,-31.9333,115.8333,67.08,83,0,0.0
233,Sao Filipe,CV,2021-12-21 20:43:10,14.8961,-24.4956,75.42,72,100,6.2
234,Westerland,DE,2021-12-21 20:42:05,54.9079,8.3033,39.22,87,90,14.97
235,Tshela,CD,2021-12-21 20:43:10,-4.9833,12.9333,74.64,96,100,0.98
236,Tarata,BO,2021-12-21 20:43:10,-17.6167,-66.0167,65.07,57,100,2.82
237,Taganak,PH,2021-12-21 20:43:11,6.0833,118.3,80.74,79,89,8.57
238,Asau,RO,2021-12-21 20:43:11,46.4333,26.4,18.75,94,79,3.2
239,Le Port,RE,2021-12-21 20:43:11,-20.9373,55.2919,78.8,95,100,5.32
240,Touros,BR,2021-12-21 20:39:31,-5.1989,-35.4608,85.1,75,31,10.51
241,Luganville,VU,2021-12-21 20:43:12,-15.5333,167.1667,82.22,76,20,1.61
242,Axim,GH,2021-12-21 20:43:12,4.8699,-2.2405,80.31,74,44,6.87
243,Edd,ER,2021-12-21 20:43:12,13.9297,41.6925,78.26,80,2,5.41
244,Labuhan,ID,2021-12-21 20:43:12,-6.8844,112.2051,77.31,87,100,2.53
245,Darnah,LY,2021-12-21 20:43:13,32.767,22.6367,57.6,73,82,10.98
246,Kavieng,PG,2021-12-21 20:43:13,-2.5744,150.7967,82.54,76,100,7.54
247,Bima,ID,2021-12-21 20:43:13,-8.4667,118.7167,77.25,94,100,3.47
248,Pecos,US,2021-12-21 20:43:14,31.4229,-103.4932,71.69,11,1,16.11
249,Torbay,CA,2021-12-21 20:43:14,47.6666,-52.7314,31.28,90,75,11.5
250,Isangel,VU,2021-12-21 20:43:14,-19.55,169.2667,84.31,89,20,2.3
251,Honiara,SB,2021-12-21 20:41:29,-9.4333,159.95,79.99,85,100,0.96
252,Guerrero Negro,MX,2021-12-21 20:41:18,27.9769,-114.0611,70.09,30,100,9.78
253,Yining,CN,2021-12-21 20:40:51,29.0361,114.5636,45.72,74,0,0.69
254,Artyom,AZ,2021-12-21 20:43:15,40.4723,50.333,48.34,76,49,16.08
255,Tarija,BO,2021-12-21 20:43:15,-21.5355,-64.7296,69.71,78,75,5.75
256,Miri,MY,2021-12-21 20:43:16,4.4148,114.0089,77.14,100,20,3.44
257,Zeya,RU,2021-12-21 20:43:16,53.75,127.2667,-21.03,80,14,3.76
258,Diffa,NE,2021-12-21 20:43:16,13.3154,12.6113,67.93,32,0,12.17
259,Vestmanna,FO,2021-12-21 20:43:17,62.1564,-7.1664,29.32,86,87,3.44
260,Calama,CL,2021-12-21 20:43:17,-22.4667,-68.9333,72.09,30,75,23.02
261,Avera,US,2021-12-21 20:43:17,33.194,-82.5271,45.28,92,100,10.54
262,Nanortalik,GL,2021-12-21 20:43:17,60.1432,-45.2371,39.88,80,100,19.17
263,Broome,US,2021-12-21 20:43:18,42.2506,-75.833,39.78,62,1,1.99
264,Camacupa,AO,2021-12-21 20:43:18,-12.0167,17.4833,64.78,93,100,1.97
265,Aksu,CN,2021-12-21 20:43:18,41.1231,80.2644,23.94,56,0,1.32
266,Krasnosilka,UA,2021-12-21 20:43:19,46.6226,30.7742,17.71,52,31,15.52
267,Warrnambool,AU,2021-12-21 20:38:19,-38.3833,142.4833,56.8,74,100,9.35
268,Camacha,PT,2021-12-21 20:44:19,33.0833,-16.3333,63.82,72,20,13.8
269,Monroe,US,2021-12-21 20:44:19,43.1501,-77.6831,40.44,64,20,5.75
270,Caldwell,US,2021-12-21 20:44:20,43.6629,-116.6874,45.59,86,20,0.0
271,Kaeo,NZ,2021-12-21 20:44:20,-35.1,173.7833,69.33,85,100,5.35
272,Los Llanos De Aridane,ES,2021-12-21 20:44:20,28.6585,-17.9182,62.35,97,75,1.99
273,Karakol,KG,2021-12-21 20:44:21,42.4907,78.3936,19.09,55,2,6.98
274,Thompson,CA,2021-12-21 20:42:14,55.7435,-97.8558,-11.04,70,20,2.3
275,Turochak,RU,2021-12-21 20:44:21,52.2576,87.1224,20.08,100,99,2.46
276,Mackenzie,CA,2021-12-21 20:44:21,55.2999,-123.1698,8.82,92,90,5.75
277,Hamilton,US,2021-12-21 20:41:51,39.1834,-84.5333,47.21,63,1,3.0
278,Fengrun,CN,2021-12-21 20:44:22,39.8333,118.1167,31.75,59,52,6.42
279,Tuatapere,NZ,2021-12-21 20:44:22,-46.1333,167.6833,62.82,51,48,10.31
280,Polewali,ID,2021-12-21 20:44:22,-3.4324,119.3435,76.53,87,100,3.4
281,Balabac,PH,2021-12-21 20:44:23,7.9868,117.0645,80.02,78,95,7.58
282,Enkoping,SE,2021-12-21 20:44:23,59.6361,17.0777,18.01,84,99,0.76
283,Venado Tuerto,AR,2021-12-21 20:44:23,-33.7456,-61.9688,98.74,21,0,12.84
284,Sidi Ali,DZ,2021-12-21 20:44:24,36.0998,0.4206,59.07,56,77,7.43
285,San Vicente,AR,2021-12-21 20:44:24,-26.6167,-54.1333,91.02,29,35,3.49
286,Acapulco,MX,2021-12-21 20:41:55,16.8634,-99.8901,87.62,66,40,8.05
287,Kalga,RU,2021-12-21 20:44:24,50.9251,118.898,-23.98,91,13,2.26
288,Minas De Barroteran,MX,2021-12-21 20:44:25,27.6333,-101.2833,74.32,21,48,3.85
289,Ekimchan,RU,2021-12-21 20:44:25,53.0667,132.9667,-25.74,98,100,2.55
290,Vardo,NO,2021-12-21 20:44:25,70.3705,31.1107,26.58,80,40,20.71
291,Pafos,CY,2021-12-21 20:44:26,34.7667,32.4167,60.58,63,75,17.27
292,Comodoro Rivadavia,AR,2021-12-21 20:44:26,-45.8667,-67.5,73.26,27,0,18.41
293,Maddela,PH,2021-12-21 20:44:26,16.3414,121.6849,71.82,98,47,0.43
